,median,mean,std
npi8hi,0.0,0.12996594778660614,0.7169711189708494
PressStand_Dia,80.0,79.26463231615809,12.176361054144914
URINDYS,1.0,0.747903305377405,0.7728674410692196
CONSTIPAT,0.0,0.5552268244575936,0.7117363426444672
pdss02,9.0,8.08572186836518,2.607121453259148
epwo6,0.0,0.2064755838641189,0.5923395731134176
UPO_part4_tot,1.0,1.756037456875308,2.023802948251075
madrs10,0.0,0.06475583864118896,0.29340402208048966
PIGD,1.0,1.759387351778656,0.9068917328350885
pdss_tot,120.5,118.10558510638297,18.074998851414897
delta_npi8hi,0.0,0.018427518427518427,0.5451057167544082
delta_PressStand_Dia,0.0,-0.5409924487594391,8.345817097135022
delta_URINDYS,0.0,0.014354066985645933,0.3378691363431872
delta_CONSTIPAT,0.0,0.0037194473963868225,0.3236011188801279
delta_pdss02,0.0,-0.0005743825387708214,1.2870931843877471
delta_epwo6,0.0,0.015508328546812177,0.3274608646699107
delta_UPO_part4_tot,0.0,0.16622411046202867,1.5505941155821856
delta_madrs10,0.0,0.0017231476163124641,0.18413330777685344
delta_PIGD,0.0,-0.04523682810005322,0.6222510877399529
delta_pdss_tot,0.0,-0.10305123776626367,7.454143754836291
